,transaction_date,customer_id,description,stock_code,invoice_no,quantity,sales,unit_price
50,12/1/2020 12:31,17897.0,Rechargeable Pet Nail Grinder,22960,536488,2,51.0,25.5
51,12/1/2020 12:36,16552.0,Dog and Puppy Pads,85123A,536502,1,17.7,17.7
52,12/1/2020 12:36,16552.0,Pet Odor Eliminator,84879,536502,3,30.42,10.14
53,12/1/2020 12:36,16552.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536502,1,76.5,76.5
54,12/1/2020 12:38,17897.0,Rechargeable Pet Nail Grinder,22960,,-1,-25.5,25.5
55,12/1/2020 12:43,14729.0,Dog and Puppy Pads,85123A,536520,1,17.7,17.7
56,12/1/2020 12:43,14729.0,Sheba Perfect Portions Pat Wet Cat Food,22197,536520,1,5.1,5.1
57,12/1/2020 12:49,15012.0,Earth Rated Dog Poop Bags,85099B,536522,1,11.7,11.7
58,12/1/2020 12:54,14078.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536525,1,76.5,76.5
59,12/1/2020 12:58,14001.0,Earth Rated Dog Poop Bags,85099B,536526,2,23.4,11.7
60,12/1/2020 13:17,15525.0,Rechargeable Pet Nail Grinder,22960,536528,1,25.5,25.5
61,12/1/2020 13:17,15525.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536528,1,76.5,76.5
62,12/1/2020 13:21,17905.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536530,1,76.5,76.5
63,12/1/2020 13:23,15485.0,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536531,14,214.2,15.3
64,12/1/2020 13:24,12433.0,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536532,2,47.4,23.7
65,12/1/2020 13:24,12433.0,Sheba Perfect Portions Pat Wet Cat Food,22197,536532,12,61.2,5.1
66,12/1/2020 13:45,18144.0,Pet Odor Eliminator,84879,536536,14,141.96,10.14
67,12/1/2020 13:51,15922.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536537,1,76.5,76.5
68,12/1/2020 13:54,14594.0,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536538,1,17.7,17.7
69,12/1/2020 14:03,15165.0,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536539,1,23.7,23.7
70,12/1/2020 14:03,15165.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536539,1,76.5,76.5
71,12/1/2020 14:11,16456.0,Dog and Puppy Pads,85123A,536542,6,106.2,17.7
72,12/1/2020 14:11,16456.0,Earth Rated Dog Poop Bags,85099B,536542,7,81.9,11.7
73,12/1/2020 14:11,16456.0,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,536542,5,58.5,11.7
74,12/1/2020 14:32,,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536544,1,50.82,50.82
75,12/1/2020 14:32,,Dog and Puppy Pads,85123A,536544,1,35.46,35.46
76,12/1/2020 14:32,,Earth Rated Dog Poop Bags,85099B,536544,1,25.26,25.26
77,12/1/2020 14:32,,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536544,6,212.76,35.46
78,12/1/2020 14:32,,Pet Grooming Brush,20725,536544,1,25.26,25.26
79,12/1/2020 14:32,,ProBiotic Supplements for Dogs,79321,536544,1,61.02,61.02
80,12/1/2020 14:32,,Rechargeable Pet Nail Grinder,22960,536544,2,101.64,50.82
81,12/1/2020 14:32,,Sheba Perfect Portions Pat Wet Cat Food,22197,536544,1,9.96,9.96
82,12/1/2020 14:32,,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536544,7,534.24,76.32
83,12/1/2020 14:41,17841.0,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536557,1,23.7,23.7
84,12/1/2020 14:41,17841.0,NexGard Chew for Dogs,82484,536557,1,38.7,38.7
85,12/1/2020 14:41,17841.0,ProBiotic Supplements for Dogs,79321,536557,4,102.0,25.5
86,12/1/2020 15:00,13093.0,ProBiotic Supplements for Dogs,79321,536560,8,204.0,25.5
87,12/1/2020 15:00,13093.0,Rechargeable Pet Nail Grinder,22960,536560,2,45.0,22.5
88,12/1/2020 15:08,13468.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536562,1,76.5,76.5
89,12/1/2020 15:35,16274.0,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536569,1,17.7,17.7
90,12/1/2020 16:01,13777.0,Dog and Puppy Pads,85123A,536575,22,336.6,15.3
91,12/1/2020 16:01,13777.0,Earth Rated Dog Poop Bags,85099B,536575,12,118.8,9.9
92,12/1/2020 16:11,13777.0,Dog and Puppy Pads,85123A,536576,22,336.6,15.3
93,12/1/2020 16:11,13777.0,Earth Rated Dog Poop Bags,85099B,536576,5,49.5,9.9
94,12/1/2020 16:13,13777.0,Pet Grooming Brush,20725,536577,10,87.0,8.7
95,12/1/2020 16:19,13777.0,Earth Rated Dog Poop Bags,85099B,536581,34,336.6,9.9
96,12/1/2020 16:33,14142.0,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536587,1,23.7,23.7
97,12/1/2020 16:49,17069.0,Rechargeable Pet Nail Grinder,22960,536588,1,25.5,25.5
98,12/1/2020 16:52,13065.0,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536590,1,23.7,23.7
99,12/1/2020 16:52,13065.0,Dog and Puppy Pads,85123A,536590,1,17.7,17.7
100,12/1/2020 16:57,14606.0,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,536591,1,11.7,11.7
101,12/1/2020 17:06,,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536592,1,50.82,50.82
102,12/1/2020 17:06,,Dog and Puppy Pads,85123A,536592,2,70.92,35.46
103,12/1/2020 17:06,,Earth Rated Dog Poop Bags,85099B,536592,1,25.26,25.26
104,12/1/2020 17:06,,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536592,4,141.84,35.46
105,12/1/2020 17:06,,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,536592,1,25.26,25.26
106,12/1/2020 17:06,,Pet Grooming Brush,20725,536592,1,25.26,25.26
107,12/1/2020 17:06,,Pet Odor Eliminator,84879,536592,2,38.28,19.14
108,12/1/2020 17:06,,ProBiotic Supplements for Dogs,79321,536592,1,61.02,61.02
109,12/1/2020 17:06,,Sheba Perfect Portions Pat Wet Cat Food,22197,536592,6,59.76,9.96
110,12/1/2020 17:06,,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536592,8,610.56,76.32
111,12/1/2020 17:22,15235.0,Dog and Puppy Pads,85123A,536594,1,17.7,17.7
112,12/1/2020 17:24,13576.0,Canned Cat Food,21137,536595,10,203.4,20.34
113,12/1/2020 17:29,,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536596,1,23.7,23.7
114,12/1/2020 17:35,18011.0,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536597,1,17.7,17.7
115,12/1/2020 17:35,18011.0,Sheba Perfect Portions Pat Wet Cat Food,22197,536597,1,5.1,5.1
116,12/2/2020 8:32,17850.0,Dog and Puppy Pads,85123A,536600,1,15.3,15.3
117,12/2/2020 8:34,17850.0,Dog and Puppy Pads,85123A,536602,1,15.3,15.3
118,12/2/2020 9:29,17732.0,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536607,1,23.7,23.7
119,12/2/2020 9:29,17732.0,Dog and Puppy Pads,85123A,536607,1,17.7,17.7
120,12/2/2020 9:29,17732.0,Earth Rated Dog Poop Bags,85099B,536607,2,23.4,11.7
121,12/2/2020 9:29,17732.0,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,536607,2,23.4,11.7
122,12/2/2020 9:29,17732.0,Pet Odor Eliminator,84879,536607,2,20.28,10.14
123,12/2/2020 9:29,17732.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536607,1,76.5,76.5
124,12/2/2020 9:41,17850.0,Dog and Puppy Pads,85123A,536609,1,15.3,15.3
125,12/2/2020 9:44,17850.0,Dog and Puppy Pads,85123A,536612,1,15.3,15.3
126,12/2/2020 10:10,17925.0,Canned Cat Food,21137,536616,12,244.08,20.34
127,12/2/2020 10:17,13941.0,ProBiotic Supplements for Dogs,79321,536617,4,102.0,25.5
128,12/2/2020 10:17,17017.0,Sheba Perfect Portions Pat Wet Cat Food,22197,536618,8,40.8,5.1
129,12/2/2020 10:18,17017.0,Rechargeable Pet Nail Grinder,22960,536619,2,45.0,22.5
130,12/2/2020 10:53,15658.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536627,1,76.5,76.5
131,12/2/2020 10:54,17850.0,Dog and Puppy Pads,85123A,536628,1,15.3,15.3
132,12/2/2020 10:56,17850.0,Dog and Puppy Pads,85123A,536630,1,15.3,15.3
133,12/2/2020 11:02,14388.0,Earth Rated Dog Poop Bags,85099B,536632,2,23.4,11.7
134,12/2/2020 11:02,14388.0,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,536632,2,23.4,11.7
135,12/2/2020 11:20,14901.0,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536633,2,35.4,17.7
136,12/2/2020 11:20,14901.0,Rechargeable Pet Nail Grinder,22960,536633,1,25.5,25.5
137,12/2/2020 11:22,15955.0,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536635,2,47.4,23.7
138,12/2/2020 11:22,15955.0,Indoor Pet Camera (Wi-Fi),22502,536635,2,71.4,35.7
139,12/2/2020 11:23,15070.0,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536636,6,106.2,17.7
140,12/2/2020 11:35,18041.0,Rechargeable Pet Nail Grinder,22960,536637,1,25.5,25.5
141,12/2/2020 11:35,18041.0,Sheba Perfect Portions Pat Wet Cat Food,22197,536637,1,5.1,5.1
142,12/2/2020 11:41,16244.0,Indoor Pet Camera (Wi-Fi),22502,536638,1,35.7,35.7
143,12/2/2020 11:57,14390.0,Earth Rated Dog Poop Bags,85099B,536643,1,11.7,11.7
144,12/2/2020 12:09,15260.0,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536667,2,35.4,17.7
145,12/2/2020 12:09,15260.0,ProBiotic Supplements for Dogs,79321,536667,1,29.7,29.7
146,12/2/2020 12:09,15260.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536667,1,76.5,76.5
147,12/2/2020 12:22,17287.0,Pet Odor Eliminator,84879,536681,2,20.28,10.14
148,12/2/2020 12:22,17287.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536681,1,76.5,76.5
149,12/2/2020 12:23,17850.0,Dog and Puppy Pads,85123A,536685,2,30.6,15.3
150,12/2/2020 12:25,17850.0,Dog and Puppy Pads,85123A,536690,1,15.3,15.3
151,12/2/2020 12:33,12915.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536707,1,76.5,76.5
152,12/2/2020 12:47,15544.0,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536732,1,17.7,17.7
153,12/2/2020 12:47,15544.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536732,1,76.5,76.5
154,12/2/2020 13:11,13117.0,Pet Odor Eliminator,84879,536741,2,20.28,10.14
155,12/2/2020 13:14,16916.0,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536742,1,17.7,17.7
156,12/2/2020 13:36,14466.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536744,1,76.5,76.5
157,12/2/2020 13:49,17976.0,Dog and Puppy Pads,85123A,536749,1,17.7,17.7
158,12/2/2020 13:49,17976.0,Pet Odor Eliminator,84879,536749,1,10.14,10.14
159,12/2/2020 14:04,17850.0,Dog and Puppy Pads,85123A,536750,2,30.6,15.3
160,12/2/2020 14:06,17850.0,Dog and Puppy Pads,85123A,536752,1,15.3,15.3
161,12/2/2020 14:09,14449.0,Canned Cat Food,21137,536754,1,22.5,22.5
162,12/2/2020 14:09,14449.0,Sheba Perfect Portions Pat Wet Cat Food,22197,536754,1,5.1,5.1
163,12/2/2020 14:23,,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536756,1,17.7,17.7
164,12/2/2020 14:23,,Sheba Perfect Portions Pat Wet Cat Food,22197,536756,1,5.1,5.1
165,12/2/2020 14:26,16781.0,NexGard Chew for Dogs,82484,536759,1,38.7,38.7
166,12/2/2020 14:42,17685.0,Dog and Puppy Pads,85123A,536763,2,35.4,17.7
167,12/2/2020 14:42,17685.0,ProBiotic Supplements for Dogs,79321,536763,4,102.0,25.5
168,12/2/2020 14:47,17581.0,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536769,3,53.1,17.7
169,12/2/2020 14:47,17581.0,Pet Grooming Brush,20725,536769,2,19.8,9.9
170,12/2/2020 14:47,17581.0,ProBiotic Supplements for Dogs,79321,536769,1,29.7,29.7
171,12/2/2020 14:49,17581.0,Rechargeable Pet Nail Grinder,22960,536771,1,25.5,25.5
172,12/2/2020 15:00,15732.0,Earth Rated Dog Poop Bags,85099B,536777,4,46.8,11.7
173,12/2/2020 15:09,,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536780,1,23.7,23.7
174,12/2/2020 15:18,17567.0,Sheba Perfect Portions Pat Wet Cat Food,22197,536782,2,10.2,5.1
175,12/2/2020 15:22,15061.0,Pet Odor Eliminator,84879,536785,54,469.8,8.7
176,12/2/2020 15:22,15061.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536785,24,1576.8,65.7
177,12/2/2020 15:24,17850.0,Dog and Puppy Pads,85123A,536787,1,15.3,15.3
178,12/2/2020 15:26,17850.0,Dog and Puppy Pads,85123A,536790,2,35.4,17.7
179,12/2/2020 15:39,16203.0,Rechargeable Pet Nail Grinder,22960,536793,1,25.5,25.5
180,12/2/2020 15:40,13767.0,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536794,2,47.4,23.7
181,12/2/2020 15:40,15640.0,Dog and Puppy Pads,85123A,536795,6,91.8,15.3
182,12/2/2020 15:40,15640.0,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536795,7,107.1,15.3
183,12/2/2020 15:46,15574.0,Pet Odor Eliminator,84879,536796,1,10.14,10.14
184,12/2/2020 16:00,17228.0,Earth Rated Dog Poop Bags,85099B,536799,1,11.7,11.7
185,12/2/2020 16:00,17228.0,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,536799,1,11.7,11.7
186,12/2/2020 16:12,,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536801,1,17.7,17.7
187,12/2/2020 16:12,14829.0,Rechargeable Pet Nail Grinder,22960,536800,1,25.5,25.5
188,12/2/2020 16:34,14031.0,Pet Odor Eliminator,84879,536804,8,81.12,10.14
189,12/2/2020 16:34,14031.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536804,3,197.1,65.7
190,12/2/2020 16:46,17659.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536808,1,76.5,76.5
191,12/2/2020 16:59,15646.0,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536813,1,17.7,17.7
192,12/2/2020 17:17,17757.0,Indoor Pet Camera (Wi-Fi),22502,536821,1,35.7,35.7
193,12/2/2020 17:17,17757.0,Sheba Perfect Portions Pat Wet Cat Food,22197,536821,1,5.1,5.1
194,12/2/2020 17:24,13798.0,Dog and Puppy Pads,85123A,536824,27,413.1,15.3
195,12/2/2020 17:27,15384.0,Sheba Perfect Portions Pat Wet Cat Food,22197,,0,0.0,5.1
196,12/2/2020 17:48,18239.0,Dog and Puppy Pads,85123A,536833,1,17.7,17.7
197,12/2/2020 18:08,18168.0,Sheba Perfect Portions Pat Wet Cat Food,22197,536836,1,5.1,5.1
198,12/2/2020 18:15,14395.0,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536837,1,23.7,23.7
199,12/2/2020 18:15,14395.0,Dog and Puppy Pads,85123A,536837,1,17.7,17.7
200,12/2/2020 18:25,15093.0,Pet Odor Eliminator,84879,536839,16,162.24,10.14
201,12/2/2020 18:27,16150.0,Pet Odor Eliminator,84879,536841,2,20.28,10.14
202,12/2/2020 18:45,17552.0,Indoor Pet Camera (Wi-Fi),22502,536842,1,35.7,35.7
203,12/2/2020 18:49,14236.0,Indoor Pet Camera (Wi-Fi),22502,536844,6,178.2,29.7
204,12/2/2020 19:18,17961.0,Pet Grooming Brush,20725,536845,1,9.9,9.9
205,12/2/2020 19:59,14573.0,Indoor Pet Camera (Wi-Fi),22502,536846,1,35.7,35.7
206,12/2/2020 19:59,14573.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536846,1,76.5,76.5
207,12/3/2020 10:26,13370.0,Rechargeable Pet Nail Grinder,22960,536856,1,25.5,25.5
208,12/3/2020 10:26,13370.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536856,1,76.5,76.5
209,12/3/2020 10:33,16883.0,Dog and Puppy Pads,85123A,536857,1,17.7,17.7
210,12/3/2020 10:43,12841.0,Dog and Puppy Pads,85123A,536859,1,17.7,17.7
211,12/3/2020 10:43,12841.0,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536859,1,17.7,17.7
212,12/3/2020 10:43,12841.0,ProBiotic Supplements for Dogs,79321,536859,1,29.7,29.7
213,12/3/2020 11:13,,Earth Rated Dog Poop Bags,85099B,536862,1,25.26,25.26
214,12/3/2020 11:13,,Indoor Pet Camera (Wi-Fi),22502,536862,1,50.82,50.82
215,12/3/2020 11:13,,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,536862,1,30.36,30.36
216,12/3/2020 11:13,,Pet Grooming Brush,20725,536862,1,30.36,30.36
217,12/3/2020 11:13,,Sheba Perfect Portions Pat Wet Cat Food,22197,536862,2,19.92,9.96
218,12/3/2020 11:13,,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536862,1,152.94,152.94
219,12/3/2020 11:19,17967.0,Dog and Puppy Pads,85123A,536863,1,17.7,17.7
220,12/3/2020 11:19,17967.0,Pet Grooming Brush,20725,536863,1,9.9,9.9
221,12/3/2020 11:19,17967.0,Rechargeable Pet Nail Grinder,22960,536863,1,25.5,25.5
222,12/3/2020 11:27,,Earth Rated Dog Poop Bags,85099B,536864,1,25.26,25.26
223,12/3/2020 11:27,,Indoor Pet Camera (Wi-Fi),22502,536864,1,50.82,50.82
224,12/3/2020 11:27,,"Memory Foam Pet Beds for Small, Medium, and Large Dogs and Cats",47566,536864,1,55.92,55.92
225,12/3/2020 11:27,,NexGard Chew for Dogs,82484,536864,1,81.42,81.42
226,12/3/2020 11:27,,Pet Grooming Brush,20725,536864,1,30.36,30.36
227,12/3/2020 11:28,,Earth Rated Dog Poop Bags,85099B,536865,1,25.26,25.26
228,12/3/2020 11:28,,Indoor Pet Camera (Wi-Fi),22502,536865,1,50.82,50.82
229,12/3/2020 11:28,,"Memory Foam Pet Beds for Small, Medium, and Large Dogs and Cats",47566,536865,1,55.92,55.92
230,12/3/2020 11:28,,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,536865,1,30.36,30.36
231,12/3/2020 11:28,,Pet Grooming Brush,20725,536865,1,30.36,30.36
232,12/3/2020 11:28,,Rechargeable Pet Nail Grinder,22960,536865,1,50.82,50.82
233,12/3/2020 11:28,,Sheba Perfect Portions Pat Wet Cat Food,22197,536865,3,29.88,9.96
234,12/3/2020 11:35,16891.0,Earth Rated Dog Poop Bags,85099B,536874,1,11.7,11.7
235,12/3/2020 11:35,16891.0,Rechargeable Pet Nail Grinder,22960,536874,1,25.5,25.5
236,12/3/2020 11:36,,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536876,1,50.82,50.82
237,12/3/2020 11:36,,Dog and Puppy Pads,85123A,536876,1,35.46,35.46
238,12/3/2020 11:36,,Earth Rated Dog Poop Bags,85099B,536876,1,25.26,25.26
239,12/3/2020 11:36,,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536876,1,17.7,17.7
240,12/3/2020 11:36,,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536876,5,177.3,35.46
241,12/3/2020 11:36,,"Memory Foam Pet Beds for Small, Medium, and Large Dogs and Cats",47566,536876,1,50.82,50.82
242,12/3/2020 11:36,,NexGard Chew for Dogs,82484,536876,1,81.42,81.42
243,12/3/2020 11:36,,Pet Grooming Brush,20725,536876,1,25.26,25.26
244,12/3/2020 11:36,,Pet Odor Eliminator,84879,536876,2,20.28,10.14
245,12/3/2020 11:36,,Pet Odor Eliminator,84879,536876,2,38.28,19.14
246,12/3/2020 11:36,,Rechargeable Pet Nail Grinder,22960,536876,1,50.82,50.82
247,12/3/2020 11:36,,Sheba Perfect Portions Pat Wet Cat Food,22197,536876,4,39.84,9.96
248,12/3/2020 11:36,,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536876,7,534.24,76.32
249,12/3/2020 12:05,14680.0,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,536938,4,46.8,11.7
250,12/3/2020 12:05,14680.0,ProBiotic Supplements for Dogs,79321,536938,12,306.0,25.5
251,12/3/2020 12:11,17884.0,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536943,1,17.7,17.7
252,12/3/2020 12:11,17884.0,Pet Odor Eliminator,84879,536943,2,20.28,10.14
253,12/3/2020 12:20,12557.0,Pet Grooming Brush,20725,536944,12,118.8,9.9
254,12/3/2020 12:28,13013.0,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536946,2,35.4,17.7
255,12/3/2020 12:28,13013.0,Pet Odor Eliminator,84879,536946,3,30.42,10.14
256,12/3/2020 12:29,13013.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536947,1,76.5,76.5
257,12/3/2020 12:43,14210.0,"Memory Foam Pet Beds for Small, Medium, and Large Dogs and Cats",47566,536956,1,27.9,27.9
258,12/3/2020 12:43,14210.0,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536956,1,76.5,76.5
