transaction_date,customer_id,sale_product_description,stock_code,invoice_no,quantity,sale,unit_price
2020-12-01 11:21:00,15862,Pet Grooming Brush,20725,536401,1,9.9,9.9
2020-12-01 11:33:00,17850,Dog and Puppy Pads,85123,536406,2,30.6,15.3
2020-12-01 11:41:00,14307,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536408,1,23.7,23.7
2020-12-01 11:41:00,14307,Pet Odor Eliminator,84879,536408,2,20.28,10.14
2020-12-01 11:45:00,17908,Earth Rated Dog Poop Bags,85099,536409,1,11.7,11.7
2020-12-01 11:45:00,17908,Sheba Perfect Portions Pat Wet Cat Food,22197,536409,1,5.1,5.1
2020-12-01 11:49:00,17920,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536412,1,17.7,17.7
2020-12-01 11:49:00,17920,Pet Grooming Brush,20725,536412,1,9.9,9.9
2020-12-01 11:49:00,17920,Sheba Perfect Portions Pat Wet Cat Food,22197,536412,1,5.1,5.1
2020-12-01 11:57:00,12838,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536415,1,17.7,17.7
2020-12-01 12:08:00,13758,ProBiotic Supplements for Dogs,79321,536425,2,59.4,29.7
2020-12-01 12:22:00,14849,Pet Odor Eliminator,84879,536460,4,40.56,10.14
2020-12-01 12:23:00,14849,Rechargeable Pet Nail Grinder,22960,536466,1,25.5,25.5
2020-12-01 12:23:00,17968,Earth Rated Dog Poop Bags,85099,536464,1,11.7,11.7
2020-12-01 12:23:00,17968,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536464,1,17.7,17.7
2020-12-01 12:23:00,17968,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,536464,1,11.7,11.7
2020-12-01 12:23:00,17968,Pet Odor Eliminator,84879,536464,2,20.28,10.14
2020-12-01 12:23:00,17968,Rechargeable Pet Nail Grinder,22960,536464,1,25.5,25.5
2020-12-01 12:23:00,17968,Sheba Perfect Portions Pat Wet Cat Food,22197,536464,1,5.1,5.1
2020-12-01 12:27:00,16210,Canned Cat Food,21137,536477,80,1627.2,20.34
2020-12-01 12:31:00,17897,Rechargeable Pet Nail Grinder,22960,536488,2,51.0,25.5
2020-12-01 12:36:00,16552,Dog and Puppy Pads,85123,536502,1,17.7,17.7
2020-12-01 12:36:00,16552,Pet Odor Eliminator,84879,536502,3,30.42,10.14
2020-12-01 12:36:00,16552,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536502,1,76.5,76.5
2020-12-01 12:43:00,14729,Dog and Puppy Pads,85123,536520,1,17.7,17.7
2020-12-01 12:43:00,14729,Sheba Perfect Portions Pat Wet Cat Food,22197,536520,1,5.1,5.1
2020-12-01 12:49:00,15012,Earth Rated Dog Poop Bags,85099,536522,1,11.7,11.7
2020-12-01 12:54:00,14078,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536525,1,76.5,76.5
2020-12-01 12:58:00,14001,Earth Rated Dog Poop Bags,85099,536526,2,23.4,11.7
2020-12-01 13:17:00,15525,Rechargeable Pet Nail Grinder,22960,536528,1,25.5,25.5
2020-12-01 13:17:00,15525,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536528,1,76.5,76.5
2020-12-01 13:21:00,17905,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536530,1,76.5,76.5
2020-12-01 13:24:00,12433,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536532,2,47.4,23.7
2020-12-01 13:45:00,18144,Pet Odor Eliminator,84879,536536,14,141.96,10.14
2020-12-01 13:51:00,15922,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536537,1,76.5,76.5
2020-12-01 13:54:00,14594,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536538,1,17.7,17.7
2020-12-01 14:03:00,15165,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536539,1,23.7,23.7
2020-12-01 14:03:00,15165,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536539,1,76.5,76.5
2020-12-01 14:11:00,16456,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,536542,5,58.5,11.7
2020-12-01 14:32:00,-1,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536544,1,50.82,50.82
2020-12-01 14:32:00,-1,Dog and Puppy Pads,85123,536544,1,35.46,35.46
2020-12-01 14:32:00,-1,Earth Rated Dog Poop Bags,85099,536544,1,25.26,25.26
2020-12-01 14:32:00,-1,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536544,6,212.76,35.46
2020-12-01 14:32:00,-1,Pet Grooming Brush,20725,536544,1,25.26,25.26
2020-12-01 14:32:00,-1,ProBiotic Supplements for Dogs,79321,536544,1,61.02,61.02
2020-12-01 14:32:00,-1,Rechargeable Pet Nail Grinder,22960,536544,2,101.64,50.82
2020-12-01 14:32:00,-1,Sheba Perfect Portions Pat Wet Cat Food,22197,536544,1,9.96,9.96
2020-12-01 14:32:00,-1,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536544,7,534.24,76.32
2020-12-01 14:41:00,17841,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536557,1,23.7,23.7
2020-12-01 14:41:00,17841,NexGard Chew for Dogs,82484,536557,1,38.7,38.7
2020-12-01 14:41:00,17841,ProBiotic Supplements for Dogs,79321,536557,4,102.0,25.5
2020-12-01 15:00:00,13093,ProBiotic Supplements for Dogs,79321,536560,8,204.0,25.5
2020-12-01 15:00:00,13093,Rechargeable Pet Nail Grinder,22960,536560,2,45.0,22.5
2020-12-01 15:08:00,13468,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536562,1,76.5,76.5
2020-12-01 15:35:00,16274,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536569,1,17.7,17.7
2020-12-01 16:01:00,13777,Dog and Puppy Pads,85123,536575,22,336.6,15.3
2020-12-01 16:11:00,13777,Dog and Puppy Pads,85123,536576,22,336.6,15.3
2020-12-01 16:11:00,13777,Earth Rated Dog Poop Bags,85099,536576,5,49.5,9.9
2020-12-01 16:13:00,13777,Pet Grooming Brush,20725,536577,10,87.0,8.7
2020-12-01 16:19:00,13777,Earth Rated Dog Poop Bags,85099,536581,34,336.6,9.9
2020-12-01 16:33:00,14142,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536587,1,23.7,23.7
2020-12-01 16:49:00,17069,Rechargeable Pet Nail Grinder,22960,536588,1,25.5,25.5
2020-12-01 16:52:00,13065,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536590,1,23.7,23.7
2020-12-01 16:52:00,13065,Dog and Puppy Pads,85123,536590,1,17.7,17.7
2020-12-01 16:57:00,14606,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,536591,1,11.7,11.7
2020-12-01 17:06:00,-1,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536592,1,50.82,50.82
2020-12-01 17:06:00,-1,Dog and Puppy Pads,85123,536592,2,70.92,35.46
2020-12-01 17:06:00,-1,Earth Rated Dog Poop Bags,85099,536592,1,25.26,25.26
2020-12-01 17:06:00,-1,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536592,4,141.84,35.46
2020-12-01 17:06:00,-1,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,536592,1,25.26,25.26
2020-12-01 17:06:00,-1,Pet Grooming Brush,20725,536592,1,25.26,25.26
2020-12-01 17:06:00,-1,Pet Odor Eliminator,84879,536592,2,38.28,19.14
2020-12-01 17:06:00,-1,ProBiotic Supplements for Dogs,79321,536592,1,61.02,61.02
2020-12-01 17:06:00,-1,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536592,8,610.56,76.32
2020-12-01 17:22:00,15235,Dog and Puppy Pads,85123,536594,1,17.7,17.7
2020-12-01 17:24:00,13576,Canned Cat Food,21137,536595,10,203.4,20.34
2020-12-01 17:29:00,-1,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536596,1,23.7,23.7
2020-12-01 17:35:00,18011,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536597,1,17.7,17.7
2020-12-01 17:35:00,18011,Sheba Perfect Portions Pat Wet Cat Food,22197,536597,1,5.1,5.1
2020-12-02 08:32:00,17850,Dog and Puppy Pads,85123,536600,1,15.3,15.3
2020-12-02 08:34:00,17850,Dog and Puppy Pads,85123,536602,1,15.3,15.3
2020-12-02 09:29:00,17732,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536607,1,23.7,23.7
2020-12-02 09:29:00,17732,Dog and Puppy Pads,85123,536607,1,17.7,17.7
2020-12-02 09:29:00,17732,Earth Rated Dog Poop Bags,85099,536607,2,23.4,11.7
2020-12-02 09:29:00,17732,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,536607,2,23.4,11.7
2020-12-02 09:29:00,17732,Pet Odor Eliminator,84879,536607,2,20.28,10.14
2020-12-02 09:29:00,17732,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536607,1,76.5,76.5
2020-12-02 09:41:00,17850,Dog and Puppy Pads,85123,536609,1,15.3,15.3
2020-12-02 09:44:00,17850,Dog and Puppy Pads,85123,536612,1,15.3,15.3
2020-12-02 10:17:00,13941,ProBiotic Supplements for Dogs,79321,536617,4,102.0,25.5
2020-12-02 10:17:00,17017,Sheba Perfect Portions Pat Wet Cat Food,22197,536618,8,40.8,5.1
2020-12-02 10:18:00,17017,Rechargeable Pet Nail Grinder,22960,536619,2,45.0,22.5
2020-12-02 10:53:00,15658,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536627,1,76.5,76.5
2020-12-02 10:54:00,17850,Dog and Puppy Pads,85123,536628,1,15.3,15.3
2020-12-02 10:56:00,17850,Dog and Puppy Pads,85123,536630,1,15.3,15.3
2020-12-02 11:02:00,14388,Earth Rated Dog Poop Bags,85099,536632,2,23.4,11.7
2020-12-02 11:02:00,14388,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,536632,2,23.4,11.7
2020-12-02 11:20:00,14901,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536633,2,35.4,17.7
2020-12-02 11:20:00,14901,Rechargeable Pet Nail Grinder,22960,536633,1,25.5,25.5
2020-12-02 11:22:00,15955,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536635,2,47.4,23.7
2020-12-02 11:22:00,15955,Indoor Pet Camera (Wi-Fi),22502,536635,2,71.4,35.7
2020-12-02 11:35:00,18041,Rechargeable Pet Nail Grinder,22960,536637,1,25.5,25.5
2020-12-02 11:35:00,18041,Sheba Perfect Portions Pat Wet Cat Food,22197,536637,1,5.1,5.1
2020-12-02 11:41:00,16244,Indoor Pet Camera (Wi-Fi),22502,536638,1,35.7,35.7
2020-12-02 11:57:00,14390,Earth Rated Dog Poop Bags,85099,536643,1,11.7,11.7
2020-12-02 12:09:00,15260,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536667,2,35.4,17.7
2020-12-02 12:09:00,15260,ProBiotic Supplements for Dogs,79321,536667,1,29.7,29.7
2020-12-02 12:09:00,15260,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536667,1,76.5,76.5
2020-12-02 12:22:00,17287,Pet Odor Eliminator,84879,536681,2,20.28,10.14
2020-12-02 12:22:00,17287,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536681,1,76.5,76.5
2020-12-02 12:23:00,17850,Dog and Puppy Pads,85123,536685,2,30.6,15.3
2020-12-02 12:25:00,17850,Dog and Puppy Pads,85123,536690,1,15.3,15.3
2020-12-02 12:33:00,12915,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536707,1,76.5,76.5
2020-12-02 12:47:00,15544,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536732,1,17.7,17.7
2020-12-02 12:47:00,15544,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536732,1,76.5,76.5
2020-12-02 13:11:00,13117,Pet Odor Eliminator,84879,536741,2,20.28,10.14
2020-12-02 13:14:00,16916,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536742,1,17.7,17.7
2020-12-02 13:36:00,14466,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536744,1,76.5,76.5
2020-12-02 13:49:00,17976,Dog and Puppy Pads,85123,536749,1,17.7,17.7
2020-12-02 13:49:00,17976,Pet Odor Eliminator,84879,536749,1,10.14,10.14
2020-12-02 14:04:00,17850,Dog and Puppy Pads,85123,536750,2,30.6,15.3
2020-12-02 14:06:00,17850,Dog and Puppy Pads,85123,536752,1,15.3,15.3
2020-12-02 14:09:00,14449,Canned Cat Food,21137,536754,1,22.5,22.5
2020-12-02 14:09:00,14449,Sheba Perfect Portions Pat Wet Cat Food,22197,536754,1,5.1,5.1
2020-12-02 14:23:00,-1,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536756,1,17.7,17.7
2020-12-02 14:23:00,-1,Sheba Perfect Portions Pat Wet Cat Food,22197,536756,1,5.1,5.1
2020-12-02 14:26:00,16781,NexGard Chew for Dogs,82484,536759,1,38.7,38.7
2020-12-02 14:42:00,17685,Dog and Puppy Pads,85123,536763,2,35.4,17.7
2020-12-02 14:42:00,17685,ProBiotic Supplements for Dogs,79321,536763,4,102.0,25.5
2020-12-02 14:47:00,17581,Pet Grooming Brush,20725,536769,2,19.8,9.9
2020-12-02 14:47:00,17581,ProBiotic Supplements for Dogs,79321,536769,1,29.7,29.7
2020-12-02 14:49:00,17581,Rechargeable Pet Nail Grinder,22960,536771,1,25.5,25.5
2020-12-02 15:00:00,15732,Earth Rated Dog Poop Bags,85099,536777,4,46.8,11.7
2020-12-02 15:09:00,-1,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536780,1,23.7,23.7
2020-12-02 15:18:00,17567,Sheba Perfect Portions Pat Wet Cat Food,22197,536782,2,10.2,5.1
2020-12-02 15:24:00,17850,Dog and Puppy Pads,85123,536787,1,15.3,15.3
2020-12-02 15:26:00,17850,Dog and Puppy Pads,85123,536790,2,35.4,17.7
2020-12-02 15:39:00,16203,Rechargeable Pet Nail Grinder,22960,536793,1,25.5,25.5
2020-12-02 15:40:00,13767,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536794,2,47.4,23.7
2020-12-02 15:46:00,15574,Pet Odor Eliminator,84879,536796,1,10.14,10.14
2020-12-02 16:00:00,17228,Earth Rated Dog Poop Bags,85099,536799,1,11.7,11.7
2020-12-02 16:00:00,17228,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,536799,1,11.7,11.7
2020-12-02 16:12:00,-1,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536801,1,17.7,17.7
2020-12-02 16:12:00,14829,Rechargeable Pet Nail Grinder,22960,536800,1,25.5,25.5
2020-12-02 16:34:00,14031,Pet Odor Eliminator,84879,536804,8,81.12,10.14
2020-12-02 16:46:00,17659,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536808,1,76.5,76.5
2020-12-02 16:59:00,15646,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536813,1,17.7,17.7
2020-12-02 17:17:00,17757,Indoor Pet Camera (Wi-Fi),22502,536821,1,35.7,35.7
2020-12-02 17:17:00,17757,Sheba Perfect Portions Pat Wet Cat Food,22197,536821,1,5.1,5.1
2020-12-02 17:24:00,13798,Dog and Puppy Pads,85123,536824,27,413.1,15.3
2020-12-02 17:48:00,18239,Dog and Puppy Pads,85123,536833,1,17.7,17.7
2020-12-02 18:08:00,18168,Sheba Perfect Portions Pat Wet Cat Food,22197,536836,1,5.1,5.1
2020-12-02 18:15:00,14395,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536837,1,23.7,23.7
2020-12-02 18:15:00,14395,Dog and Puppy Pads,85123,536837,1,17.7,17.7
2020-12-02 18:25:00,15093,Pet Odor Eliminator,84879,536839,16,162.24,10.14
2020-12-02 18:27:00,16150,Pet Odor Eliminator,84879,536841,2,20.28,10.14
2020-12-02 18:45:00,17552,Indoor Pet Camera (Wi-Fi),22502,536842,1,35.7,35.7
2020-12-02 18:49:00,14236,Indoor Pet Camera (Wi-Fi),22502,536844,6,178.2,29.7
2020-12-02 19:18:00,17961,Pet Grooming Brush,20725,536845,1,9.9,9.9
2020-12-02 19:59:00,14573,Indoor Pet Camera (Wi-Fi),22502,536846,1,35.7,35.7
2020-12-02 19:59:00,14573,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536846,1,76.5,76.5
2020-12-03 10:26:00,13370,Rechargeable Pet Nail Grinder,22960,536856,1,25.5,25.5
2020-12-03 10:26:00,13370,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536856,1,76.5,76.5
2020-12-03 10:33:00,16883,Dog and Puppy Pads,85123,536857,1,17.7,17.7
2020-12-03 10:43:00,12841,Dog and Puppy Pads,85123,536859,1,17.7,17.7
2020-12-03 10:43:00,12841,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536859,1,17.7,17.7
2020-12-03 10:43:00,12841,ProBiotic Supplements for Dogs,79321,536859,1,29.7,29.7
2020-12-03 11:13:00,-1,Earth Rated Dog Poop Bags,85099,536862,1,25.26,25.26
2020-12-03 11:13:00,-1,Indoor Pet Camera (Wi-Fi),22502,536862,1,50.82,50.82
2020-12-03 11:13:00,-1,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,536862,1,30.36,30.36
2020-12-03 11:13:00,-1,Pet Grooming Brush,20725,536862,1,30.36,30.36
2020-12-03 11:13:00,-1,Sheba Perfect Portions Pat Wet Cat Food,22197,536862,2,19.92,9.96
2020-12-03 11:13:00,-1,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536862,1,152.94,152.94
2020-12-03 11:19:00,17967,Dog and Puppy Pads,85123,536863,1,17.7,17.7
2020-12-03 11:19:00,17967,Pet Grooming Brush,20725,536863,1,9.9,9.9
2020-12-03 11:19:00,17967,Rechargeable Pet Nail Grinder,22960,536863,1,25.5,25.5
2020-12-03 11:27:00,-1,Earth Rated Dog Poop Bags,85099,536864,1,25.26,25.26
2020-12-03 11:27:00,-1,Indoor Pet Camera (Wi-Fi),22502,536864,1,50.82,50.82
2020-12-03 11:27:00,-1,"Memory Foam Pet Beds for Small, Medium, and Large Dogs and Cats",47566,536864,1,55.92,55.92
2020-12-03 11:27:00,-1,NexGard Chew for Dogs,82484,536864,1,81.42,81.42
2020-12-03 11:27:00,-1,Pet Grooming Brush,20725,536864,1,30.36,30.36
2020-12-03 11:28:00,-1,Earth Rated Dog Poop Bags,85099,536865,1,25.26,25.26
2020-12-03 11:28:00,-1,Indoor Pet Camera (Wi-Fi),22502,536865,1,50.82,50.82
2020-12-03 11:28:00,-1,"Memory Foam Pet Beds for Small, Medium, and Large Dogs and Cats",47566,536865,1,55.92,55.92
2020-12-03 11:28:00,-1,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,536865,1,30.36,30.36
2020-12-03 11:28:00,-1,Pet Grooming Brush,20725,536865,1,30.36,30.36
2020-12-03 11:28:00,-1,Rechargeable Pet Nail Grinder,22960,536865,1,50.82,50.82
2020-12-03 11:35:00,16891,Earth Rated Dog Poop Bags,85099,536874,1,11.7,11.7
2020-12-03 11:35:00,16891,Rechargeable Pet Nail Grinder,22960,536874,1,25.5,25.5
2020-12-03 11:36:00,-1,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536876,1,50.82,50.82
2020-12-03 11:36:00,-1,Dog and Puppy Pads,85123,536876,1,35.46,35.46
2020-12-03 11:36:00,-1,Earth Rated Dog Poop Bags,85099,536876,1,25.26,25.26
2020-12-03 11:36:00,-1,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536876,1,17.7,17.7
2020-12-03 11:36:00,-1,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536876,5,177.3,35.46
2020-12-03 11:36:00,-1,"Memory Foam Pet Beds for Small, Medium, and Large Dogs and Cats",47566,536876,1,50.82,50.82
2020-12-03 11:36:00,-1,NexGard Chew for Dogs,82484,536876,1,81.42,81.42
2020-12-03 11:36:00,-1,Pet Grooming Brush,20725,536876,1,25.26,25.26
2020-12-03 11:36:00,-1,Pet Odor Eliminator,84879,536876,2,20.28,10.14
2020-12-03 11:36:00,-1,Pet Odor Eliminator,84879,536876,2,38.28,19.14
2020-12-03 11:36:00,-1,Rechargeable Pet Nail Grinder,22960,536876,1,50.82,50.82
2020-12-03 11:36:00,-1,Sheba Perfect Portions Pat Wet Cat Food,22197,536876,4,39.84,9.96
2020-12-03 11:36:00,-1,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536876,7,534.24,76.32
2020-12-03 12:05:00,14680,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,536938,4,46.8,11.7
2020-12-03 12:05:00,14680,ProBiotic Supplements for Dogs,79321,536938,12,306.0,25.5
2020-12-03 12:11:00,17884,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536943,1,17.7,17.7
2020-12-03 12:11:00,17884,Pet Odor Eliminator,84879,536943,2,20.28,10.14
2020-12-03 12:28:00,13013,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536946,2,35.4,17.7
2020-12-03 12:28:00,13013,Pet Odor Eliminator,84879,536946,3,30.42,10.14
2020-12-03 12:29:00,13013,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536947,1,76.5,76.5
2020-12-03 12:43:00,14210,"Memory Foam Pet Beds for Small, Medium, and Large Dogs and Cats",47566,536956,1,27.9,27.9
2020-12-03 12:43:00,14210,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536956,1,76.5,76.5
2020-12-03 12:48:00,16477,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536960,1,23.7,23.7
2020-12-03 12:48:00,16477,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536960,1,17.7,17.7
2020-12-03 12:57:00,12600,Earth Rated Dog Poop Bags,85099,536967,5,58.5,11.7
2020-12-03 13:09:00,16013,ProBiotic Supplements for Dogs,79321,536968,8,204.0,25.5
2020-12-03 13:12:00,17949,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536970,20,1314.0,65.7
2020-12-03 13:59:00,12682,Pet Grooming Brush,20725,536974,2,19.8,9.9
2020-12-03 14:04:00,14911,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536975,2,47.4,23.7
2020-12-03 14:04:00,14911,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536975,1,17.7,17.7
2020-12-03 14:04:00,14911,ProBiotic Supplements for Dogs,79321,536975,1,29.7,29.7
2020-12-03 14:04:00,14911,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536975,1,76.5,76.5
2020-12-03 14:18:00,14723,Dog and Puppy Pads,85123,536976,2,35.4,17.7
2020-12-03 14:27:00,-1,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536982,13,726.96,55.92
2020-12-03 14:27:00,-1,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536982,13,528.06,40.62
2020-12-03 14:27:00,-1,ProBiotic Supplements for Dogs,79321,536982,6,396.72,66.12
2020-12-03 14:27:00,-1,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536982,6,917.64,152.94
2020-12-03 14:35:00,17841,ProBiotic Supplements for Dogs,79321,536984,4,102.0,25.5
2020-12-03 14:40:00,15373,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536985,1,23.7,23.7
2020-12-03 14:40:00,15373,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,536985,1,76.5,76.5
2020-12-03 14:54:00,17198,Dog and Puppy Pads,85123,536987,1,17.7,17.7
2020-12-03 15:05:00,17238,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536988,1,17.7,17.7
2020-12-03 15:19:00,14396,Dog and Puppy Pads,85123,536993,1,17.7,17.7
2020-12-03 16:02:00,16725,ProBiotic Supplements for Dogs,79321,537023,1,29.7,29.7
2020-12-03 16:35:00,12395,Earth Rated Dog Poop Bags,85099,537026,2,23.4,11.7
2020-12-03 17:20:00,13081,Sheba Perfect Portions Pat Wet Cat Food,22197,537034,4,20.4,5.1
2020-12-03 17:28:00,15545,Pet Odor Eliminator,84879,537036,2,20.28,10.14
2020-12-05 10:03:00,17243,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,537037,2,47.4,23.7
2020-12-05 10:27:00,13089,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,537040,8,525.6,65.7
2020-12-05 10:45:00,13838,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,22423,537042,1,76.5,76.5
